holdout_session,n_train_sessions,combo_index,train_sessions,model_seed,commit_sha,n_training_windows,n_training_stop,n_training_walk,selected_features,raw_accuracy,raw_balanced_accuracy,accuracy,balanced_accuracy,walk_recall,stop_recall,walk_support,stop_support,n_windows,dominant_fraction,collapse_warning
ses-03,1,1,ses-02,123,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;13;83;82;40;67;19;18;23;10;6;1;75;21;2;11;22;26;48;15;3;81;17;5;7,0.8969387755102041,0.8918184083586977,0.9091836734693878,0.9054529111265375,0.8907103825136612,0.9201954397394136,366,614,980,0.6173469387755102,False
ses-03,1,1,ses-02,2026,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;13;83;82;40;67;19;18;23;10;6;1;75;21;2;11;22;26;48;15;3;81;17;5;7,0.8969387755102041,0.8918184083586977,0.9091836734693878,0.9054529111265375,0.8907103825136612,0.9201954397394136,366,614,980,0.6173469387755102,False
ses-03,1,2,ses-05,42,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;79;10;25;66;52;64;37;8;39;12;82;43;70;84;83;46;45;62;20;19;73;18,0.8530612244897959,0.8634235773660135,0.860204081632653,0.8696756910699347,0.907103825136612,0.8322475570032574,366,614,980,0.5561224489795918,False
ses-03,1,2,ses-05,123,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;79;10;25;66;52;64;37;8;39;12;82;43;70;84;83;46;45;62;20;19;73;18,0.8530612244897959,0.8634235773660135,0.860204081632653,0.8696756910699347,0.907103825136612,0.8322475570032574,366,614,980,0.5561224489795918,False
ses-03,1,2,ses-05,2026,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;79;10;25;66;52;64;37;8;39;12;82;43;70;84;83;46;45;62;20;19;73;18,0.8530612244897959,0.8634235773660135,0.860204081632653,0.8696756910699347,0.907103825136612,0.8322475570032574,366,614,980,0.5561224489795918,False
ses-03,1,3,ses-06,42,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;82;23;10;83;13;40;6;1;67;19;26;11;2;18;15;22;37;17;7;5;64;20;71;3,0.823469387755102,0.789043448852815,0.8326530612244898,0.7996831669069614,0.6693989071038251,0.9299674267100977,366,614,980,0.7061224489795919,False
ses-03,1,3,ses-06,123,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;82;23;10;83;13;40;6;1;67;19;26;11;2;18;15;22;37;17;7;5;64;20;71;3,0.823469387755102,0.789043448852815,0.8326530612244898,0.7996831669069614,0.6693989071038251,0.9299674267100977,366,614,980,0.7061224489795919,False
ses-03,1,3,ses-06,2026,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;82;23;10;83;13;40;6;1;67;19;26;11;2;18;15;22;37;17;7;5;64;20;71;3,0.823469387755102,0.789043448852815,0.8326530612244898,0.7996831669069614,0.6693989071038251,0.9299674267100977,366,614,980,0.7061224489795919,False
ses-03,2,1,ses-01;ses-08,42,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;82;84;1;6;10;2;11;19;18;3;15;9;64;74;46;45;83;26;23;7;5;51,0.8938775510204081,0.9037218988626048,0.8969387755102041,0.9061648956052759,0.9426229508196722,0.8697068403908795,366,614,980,0.5663265306122449,False
ses-03,2,1,ses-01;ses-08,123,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;82;84;1;6;10;2;11;19;18;3;15;9;64;74;46;45;83;26;23;7;5;51,0.8938775510204081,0.9037218988626048,0.8969387755102041,0.9061648956052759,0.9426229508196722,0.8697068403908795,366,614,980,0.5663265306122449,False
ses-03,2,1,ses-01;ses-08,2026,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;82;84;1;6;10;2;11;19;18;3;15;9;64;74;46;45;83;26;23;7;5;51,0.8938775510204081,0.9037218988626048,0.8969387755102041,0.9061648956052759,0.9426229508196722,0.8697068403908795,366,614,980,0.5663265306122449,False
